Competidor;Resultado;Cant_reps;Jornada;Temporada
Jaze;V;;1;2
Stick;V;;1;2
Jota;VR;2;1;2
Strike;DR;2;1;2
Skill;V;;1;2
Nekroos;V;;1;2
New Era;D;;1;2
Diego MC;D;;1;2
Jair Wong;D;;1;2
Black Code;D;;1;2
Jaze;VR;1;2;2
Stick;DR;1;2;2
Jota;V;;2;2
Strike;D;;2;2
Skill;V;;2;2
Nekroos;D;;2;2
New Era;V;;2;2
Diego MC;V;;2;2
Jair Wong;D;;2;2
Black Code;D;;2;2
Jaze;DR;2;3;2
Stick;V;;3;2
Jota;DR;2;3;2
Strike;VR;1;3;2
Skill;V;;3;2
Nekroos;VR;1;3;2
New Era;D;;3;2
Diego MC;V;;3;2
Jair Wong;D;;3;2
Black Code;V;;3;2
